,MAE,Estimator,n
80,423.33209356837267,MLE,128
81,123.35776804531658,MPLE,128
82,118.33252330148648,MLE,256
83,49.516048793198735,MPLE,256
84,96.1871323805346,MLE,512
85,58.19758998313852,MPLE,512
86,53.9107421679114,MLE,1024
87,25.010284070984127,MPLE,1024
88,30.888994117982076,MLE,2048
89,18.295815254108422,MPLE,2048
90,18.30527114329679,MLE,4096
91,12.873056449065535,MPLE,4096
92,8.097057623442991,MLE,8192
93,9.66382979045728,MPLE,8192
94,7.12631211255386,MLE,16384
95,8.719570516897928,MPLE,16384
96,80.03513902630198,MLE,128
97,45.52125738785867,MPLE,128
98,71.15985223116981,MLE,256
99,43.954794178800405,MPLE,256
100,29.25126742880844,MLE,512
101,29.285641967919688,MPLE,512
102,19.49760438363505,MLE,1024
103,19.21963361987143,MPLE,1024
104,11.03041384269547,MLE,2048
105,11.036201734771943,MPLE,2048
106,7.248871573655236,MLE,4096
107,7.797232926185548,MPLE,4096
108,6.566170687953293,MLE,8192
109,6.915061297979605,MPLE,8192
110,3.221742907693388,MLE,16384
111,3.0998635639761885,MPLE,16384
112,123.6845910484121,MLE,128
113,67.52802819522147,MPLE,128
114,52.90514002431577,MLE,256
115,35.40321888900985,MPLE,256
116,20.853903915461064,MLE,512
117,20.19969090277746,MPLE,512
118,17.952497178249057,MLE,1024
119,17.268341792963973,MPLE,1024
120,9.167773025381614,MLE,2048
121,8.967363015295826,MPLE,2048
122,8.009308505686704,MLE,4096
123,8.116448039204387,MPLE,4096
124,5.3035922176738675,MLE,8192
125,6.013053664833943,MPLE,8192
126,3.5127824081074195,MLE,16384
127,3.210175836448619,MPLE,16384
128,501.42555793919524,MLE,128
129,62.687617918483745,MPLE,128
130,124.26092216341857,MLE,256
131,57.12224175804593,MPLE,256
132,118.65860300401495,MLE,512
133,59.548185455307426,MPLE,512
134,36.915004094485965,MLE,1024
135,26.351041402671104,MPLE,1024
136,20.879533103432525,MLE,2048
137,20.18827578013202,MPLE,2048
138,9.708819668473366,MLE,4096
139,10.443357279959715,MPLE,4096
140,8.242524104612409,MLE,8192
141,8.229424464446257,MPLE,8192
142,6.501763443303342,MLE,16384
143,6.675321774034627,MPLE,16384
144,424.55824291899614,MLE,128
145,101.11168081460139,MPLE,128
146,72.76570600083622,MLE,256
147,33.040975861895944,MPLE,256
148,46.8183339135374,MLE,512
149,32.883788023712235,MPLE,512
150,28.22978274377938,MLE,1024
151,28.512719058961842,MPLE,1024
152,17.128516198544176,MLE,2048
153,15.935555867001675,MPLE,2048
154,8.77741187819576,MLE,4096
155,8.66865186169956,MPLE,4096
156,7.093388665160015,MLE,8192
157,7.193068569343245,MPLE,8192
158,6.034430460805631,MLE,16384
159,5.864848954507559,MPLE,16384
160,319.26697599343555,MLE,128
161,86.92338772126145,MPLE,128
162,237.66062333298092,MLE,256
163,75.1047077748436,MPLE,256
164,47.10037909222154,MLE,512
165,38.446887259732094,MPLE,512
166,40.061095557428466,MLE,1024
167,32.1317711359625,MPLE,1024
168,13.498224582116977,MLE,2048
169,12.423747541397653,MPLE,2048
170,12.095282334815574,MLE,4096
171,11.252731075037564,MPLE,4096
172,8.858130149898942,MLE,8192
173,8.201423384108018,MPLE,8192
174,5.957284463326317,MLE,16384
175,5.365035978151084,MPLE,16384
