MAE,Estimator,n
23.535135046051437,MLE,128
23.365509140265807,MPLE,128
16.01994540903407,MLE,256
16.96594866070475,MPLE,256
6.521715223952707,MLE,512
8.1579114448132,MPLE,512
5.623265615688087,MLE,1024
9.437219264573402,MPLE,1024
8.319786223964918,MLE,2048
8.199164898621804,MPLE,2048
8.864901522281365,MLE,4096
8.629480172501989,MPLE,4096
4.721845607180962,MLE,8192
4.4087187596966215,MPLE,8192
2.7392525224605926,MLE,16384
2.3752550001677655,MPLE,16384
64.45021817378573,MLE,64
66.53646207076955,MPLE,64
105.73174955606332,MLE,128
127.91096931013338,MPLE,128
32.787037142429824,MLE,256
35.03782523675724,MPLE,256
43.381598836794296,MLE,512
43.90426486813598,MPLE,512
28.02686455519927,MLE,1024
28.49395590934951,MPLE,1024
22.496468834647455,MLE,2048
38.7225196936677,MPLE,2048
15.369397338595746,MLE,4096
17.356832851827853,MPLE,4096
11.563413812224885,MLE,8192
24.916977089715047,MPLE,8192
9.927880830379086,MLE,16384
9.852652888013356,MPLE,16384
37.886450288632446,MLE,64
47.881224022964,MPLE,64
48.463380538323605,MLE,128
57.39619632931827,MPLE,128
23.669406643640873,MLE,256
31.2242225928212,MPLE,256
28.73415787949475,MLE,512
25.971124077950066,MPLE,512
20.8403039198053,MLE,1024
19.44546135398965,MPLE,1024
18.857389918097187,MLE,2048
23.209754679572967,MPLE,2048
13.516760208281555,MLE,4096
12.614900973625824,MPLE,4096
6.976249827965384,MLE,8192
25.81021520645719,MPLE,8192
8.940765592870479,MLE,16384
10.817436796531826,MPLE,16384
10124.514159963739,MLE,64
6403.508280206863,MPLE,64
257.3244226546355,MLE,128
293.6750898185947,MPLE,128
1449.2905426893017,MLE,256
1727.5436283038275,MPLE,256
72.31713846834032,MLE,512
76.24925373622982,MPLE,512
61.90061544630652,MLE,1024
73.02270199309609,MPLE,1024
32.134563645911875,MLE,2048
43.022805535418144,MPLE,2048
25.52136298572698,MLE,4096
51.551002679723275,MPLE,4096
19.4065220442247,MLE,8192
18.85105768954052,MPLE,8192
12.377504972308317,MLE,16384
16.430881468619887,MPLE,16384
40.30238570923046,MLE,64
40.92380316569233,MPLE,64
15.273834314879648,MLE,128
15.292006975330867,MPLE,128
16.911870978252416,MLE,256
16.56944121036059,MPLE,256
25.113826148878154,MLE,512
24.031271796365644,MPLE,512
12.095498682404944,MLE,1024
11.900686840062411,MPLE,1024
17.708819255955888,MLE,2048
33.05915951774014,MPLE,2048
6.5146150458010466,MLE,4096
9.466884100056268,MPLE,4096
6.306203518607404,MLE,8192
5.782275257628694,MPLE,8192
3.2571619004047245,MLE,16384
3.1379792647309395,MPLE,16384
30.560925656240755,MLE,64
28.514042950400473,MPLE,64
26.819647075717285,MLE,128
27.15728026672886,MPLE,128
35.91814939441575,MLE,256
33.70485151680903,MPLE,256
22.65798061821619,MLE,512
29.227558521829362,MPLE,512
11.618460902465076,MLE,1024
13.278596189037039,MPLE,1024
12.290447382155328,MLE,2048
12.033913572313985,MPLE,2048
6.280239760260394,MLE,4096
6.566423841487863,MPLE,4096
3.504305408021424,MLE,8192
3.5904606298452717,MPLE,8192
3.3486832054328843,MLE,16384
3.3459309467897826,MPLE,16384
40.91154458493633,MLE,64
43.93370033390221,MPLE,64
58.53796282333007,MLE,128
59.80258042562692,MPLE,128
21.909528065527958,MLE,256
26.491101682750564,MPLE,256
16.630789385034056,MLE,512
18.31409474329627,MPLE,512
18.023465604432552,MLE,1024
16.772162819767345,MPLE,1024
5.21459086128821,MLE,2048
6.322269572779335,MPLE,2048
8.998159092183421,MLE,4096
9.585365139519753,MPLE,4096
3.5752352864851837,MLE,8192
3.6349898143253823,MPLE,8192
3.6427585575813857,MLE,16384
3.611055944581163,MPLE,16384
24.20501377850308,MLE,64
23.21325774509388,MPLE,64
29.050471275697372,MLE,128
27.411793698437375,MPLE,128
19.308245831020525,MLE,256
17.377283297076154,MPLE,256
9.452078142701435,MLE,512
8.483725692180865,MPLE,512
6.690123814597749,MLE,1024
6.167277921904157,MPLE,1024
8.175744878109644,MLE,2048
7.220567869907425,MPLE,2048
5.6380816904101865,MLE,4096
4.659522687460263,MPLE,4096
3.1891722121508606,MLE,8192
3.395778349159263,MPLE,8192
2.244205258113985,MLE,16384
1.6848160819314733,MPLE,16384
1160.2087651398792,MLE,64
746.5171376906058,MPLE,64
76.66450199330254,MLE,128
83.22997964460737,MPLE,128
39.35178953070255,MLE,256
46.18564105540168,MPLE,256
34.31028605527478,MLE,512
37.15452389482027,MPLE,512
40.80497360352976,MLE,1024
51.79417569621869,MPLE,1024
17.81580414838632,MLE,2048
24.67416870526712,MPLE,2048
26.394703045481876,MLE,4096
29.416593758818298,MPLE,4096
24.88611193765182,MLE,8192
25.510036771782335,MPLE,8192
6.144991207483703,MLE,16384
14.851869845969963,MPLE,16384
41.449458027418025,MLE,64
42.7635260820474,MPLE,64
33.78031508657348,MLE,128
36.52259653838878,MPLE,128
34.79191852998392,MLE,256
37.34600729113025,MPLE,256
34.06393210928051,MLE,512
31.980438850432193,MPLE,512
23.60549082662976,MLE,1024
40.416653611663634,MPLE,1024
19.643992884139315,MLE,2048
22.02474265158055,MPLE,2048
14.902488630160171,MLE,4096
15.788324987158168,MPLE,4096
9.524165109905674,MLE,8192
9.996732601760142,MPLE,8192
4.1657441182138335,MLE,16384
4.933062522248502,MPLE,16384
19861.504683284053,MLE,64
12803.234709168526,MPLE,64
48.156495193264305,MLE,128
42.045723151099615,MPLE,128
53.021157008930075,MLE,256
52.08583563638375,MPLE,256
35.51555363380798,MLE,512
40.7050214295128,MPLE,512
19.850011022465395,MLE,1024
28.481629754330946,MPLE,1024
14.409783825717682,MLE,2048
13.934428199271132,MPLE,2048
15.994684676560066,MLE,4096
17.38165020562656,MPLE,4096
27.142273918098915,MLE,8192
30.95087889491456,MPLE,8192
6.92947481158603,MLE,16384
8.01109819154548,MPLE,16384
23.51151842899902,MLE,64
16.931115966516607,MPLE,64
26.352155277497,MLE,128
23.228627416887925,MPLE,128
8.060543474472684,MLE,256
7.813234984483247,MPLE,256
5.734465696155194,MLE,512
5.118844454457147,MPLE,512
4.448709623236415,MLE,1024
3.7921631014103476,MPLE,1024
2.2639398322346427,MLE,2048
2.8928933550043405,MPLE,2048
0.9994604969858034,MLE,4096
1.320845057979078,MPLE,4096
1.2390088182342933,MLE,8192
1.1724157529723214,MPLE,8192
1.1481886473593081,MLE,16384
1.0510230947985377,MPLE,16384
1404.1422564421512,MLE,64
2975.5707361065965,MPLE,64
48.27425781728117,MLE,128
50.048971579159975,MPLE,128
131.11985977915617,MLE,256
125.23488240406789,MPLE,256
17.08853503422785,MLE,512
16.480029898930727,MPLE,512
16.7309773880682,MLE,1024
16.144481130600326,MPLE,1024
20.830209571645852,MLE,2048
30.809311566250486,MPLE,2048
11.95047271697774,MLE,4096
25.14507869298822,MPLE,4096
7.281808042598888,MLE,8192
9.23444994070849,MPLE,8192
5.714597649990166,MLE,16384
16.299469947615766,MPLE,16384
30.527868724175093,MLE,64
36.577180813309006,MPLE,64
17.016789209256146,MLE,128
14.327202273328611,MPLE,128
16.64551097033171,MLE,256
18.485394707715233,MPLE,256
5.501644578329752,MLE,512
4.431581229989087,MPLE,512
5.741865736596809,MLE,1024
5.896201224096559,MPLE,1024
3.559949736087045,MLE,2048
3.2678589798555038,MPLE,2048
2.0332128604517026,MLE,4096
2.188951956740545,MPLE,4096
1.5701595709766234,MLE,8192
1.6767638596085224,MPLE,8192
1.0365169659099935,MLE,16384
1.232706536480891,MPLE,16384
173.47147064233928,MLE,64
248.06275818712342,MPLE,64
1231.7957098679944,MLE,128
1531.6755461469277,MPLE,128
47.07436708148246,MLE,256
55.135534364077834,MPLE,256
249.0077129804932,MLE,512
273.9424283709606,MPLE,512
102.43850350314723,MLE,1024
122.26573384472935,MPLE,1024
91.4742775996167,MLE,2048
103.96053522936111,MPLE,2048
42.89639680625011,MLE,4096
105.88557853336353,MPLE,4096
33.02375034742613,MLE,8192
36.26634700049246,MPLE,8192
15.212085261794892,MLE,16384
16.64878427864131,MPLE,16384
31.38707487972021,MLE,64
25.865380321770846,MPLE,64
10.53968963034824,MLE,128
17.486815403989493,MPLE,128
9.155805989192743,MLE,256
9.578746133918646,MPLE,256
7.498356052528333,MLE,512
8.433070763982773,MPLE,512
7.18083537292006,MLE,1024
6.80079841769869,MPLE,1024
2.083944940070877,MLE,2048
1.9125914408112443,MPLE,2048
4.645519366857297,MLE,4096
5.163127542345273,MPLE,4096
1.699613454686894,MLE,8192
1.7346896474174207,MPLE,8192
1.0266294156397249,MLE,16384
1.0733712078477313,MPLE,16384
65.988874836811,MLE,64
55.92946991679424,MPLE,64
34.64772049772413,MLE,128
38.65793402349043,MPLE,128
17.6238645098827,MLE,256
18.845199071017962,MPLE,256
15.146921038258759,MLE,512
17.282689391042787,MPLE,512
13.353159367927127,MLE,1024
12.601929875295491,MPLE,1024
10.45237372102289,MLE,2048
10.521690676545903,MPLE,2048
6.308672424283886,MLE,4096
13.282637612041512,MPLE,4096
3.6476675316470115,MLE,8192
3.6921743163459584,MPLE,8192
4.888093983448293,MLE,16384
5.175609945645788,MPLE,16384
73.3483137742733,MLE,64
75.04684781682009,MPLE,64
