# 0.00700324, 3.3995, 0.605417, 0.915817, 1.00726, 0.812046, 0.674875, 0.583945, 0.902212, 0.970441, 0.891836, 0.597608, 1.18441, 1.22492, 0.788054, 0.741528, 1.17737, 1.13907, 1.11075, 1.21386, 1.52913, 1.40282, 1.6005, 1.42476, 1.96278, 1.95585, 2.55944, 1.94285, 2.42698, 2.23795, 0.740942, 0.895003, 1.06575, 1.07473, 0.886983, 1.1123, 0.987937, 1.11804, 0.865784, 0.823951, 1.00592, 1.02486, 0.00113017, 0.654877, 0.000240548, 0.16058, 0.00235143, 0.521848, 0.00273078, 0.638271, 0.00197147, 0.285628, 0.00282145, 0.600664, 0.00195686, 0.45622, 0.00183458, 0.56029, 0.00278529, 0.571428, 0.0042411, 0.801312, 0.00548488, 0.780036, 0.00251498, 0.597348
-101.74,0.788721,0.0872615,6,63,0,137.661,0.326077,-1.53866,0.884628,0.546747,0.755795,-0.610323,-3.92511,-4.40228,-5.84616,-2.22619,-1.07756,1.01379,-0.52359,1.39802,0.370422,1.09101,-2.10188,-5.06532,-7.9333,1.02283,-1.48325,-0.0765451,2.242,-0.703409,-0.018726,0.665894,-3.37337,-1.09586,-3.85632,-0.491491,-0.936319,0.101307,-0.926654,1.28872,0.665733,0.00429963,-3.018,-2.08016,-5.43231,-1.12552,-0.301395,1.25873,-0.140765,2.97606,-0.0429094,1.15206,-0.172871,-0.257684,-0.145992,-0.252831,-0.0499777,-0.0634468,-0.0462407,-0.198822,-0.151513,-0.296648,2.07009,2.74788,0.81489,2.30034,-3.11904,-3.56059,-4.0026,0.262742,-0.142483,1.74576
-100.126,0.944073,0.0872615,6,63,0,131.787,0.218586,0.986373,-0.0692817,1.11414,0.591184,0.0270929,-1.21854,-3.13692,-4.90622,1.66317,-0.703515,-0.0146227,-1.04884,-0.255937,0.420435,-0.0381829,-2.7821,-2.75109,-2.83992,-0.128469,0.639326,-0.11322,-0.352922,1.29008,1.15593,-0.664711,-1.01931,-1.90135,-2.71814,0.254423,0.444824,1.96078,2.04843,-0.0809044,0.415368,0.845909,-2.50999,0.433755,-1.5533,0.839826,0.523036,-0.876602,-0.0550277,1.48533,-0.0780527,1.92862,-0.161752,-0.211397,-0.144388,-0.195854,0.00371376,-0.102865,-0.0552659,-0.203724,-0.349454,-0.201422,1.908,1.45605,0.35658,1.21646,-2.50931,-3.34053,-2.63302,-0.912945,0.050388,-0.0692939
-99.4648,0.974205,0.0872615,5,63,0,129.878,0.278702,0.439478,0.541657,0.50297,0.0461973,0.939361,-2.20228,-2.51041,-1.22959,-0.742233,0.419466,-0.563434,0.0536716,0.0822148,0.114304,0.0395149,-0.92135,-1.25451,-2.65941,-1.39548,0.226932,-0.49892,1.1225,0.21115,1.45051,-1.04281,-1.13891,-2.23416,-0.720092,-1.42479,-0.625198,0.322102,1.60561,0.861868,-0.384066,-0.270473,-2.04201,-1.0664,-1.20806,-0.996069,0.197284,0.733189,-0.0687857,1.4458,-0.0639969,1.77607,-0.191333,-0.145637,-0.0929049,-0.239526,-0.0174635,-0.0471788,-0.152824,-0.189769,-0.279741,-0.284322,1.57408,0.583573,-0.219319,2.05458,-2.92865,-4.03973,-2.145,0.292791,0.195382,1.21532
-106.168,0.999171,0.0872615,5,31,0,135.417,0.242668,-0.912755,-1.07069,2.00163,1.38404,-0.515487,-1.25843,-2.13646,-3.63169,-0.475681,0.388138,0.36652,-0.494773,0.566046,-1.50152,-0.0020825,-1.96823,-2.15659,-2.39339,0.136516,0.329296,1.86941,2.22998,-0.670971,0.984892,-0.94177,-1.1495,-0.0109323,-2.57342,-3.25302,-1.7092,1.08802,0.207727,-1.38654,0.0626815,-0.102945,-1.14875,-0.204315,-1.25252,-0.0602713,-0.570216,1.69634,-0.0370061,0.596787,-0.0623787,1.71206,-0.158755,-0.1158,-0.0538527,-0.212711,-0.0328897,-0.102532,-0.0950086,-0.187023,-0.292312,-0.280132,2.35917,0.165682,0.0255558,2.70644,-1.62968,-2.87254,-2.9436,0.705715,0.85764,1.03537
-94.8935,0.954391,0.0872615,6,63,0,134.347,0.205882,2.04811,1.21891,0.702121,1.25524,-0.49776,-1.06058,-1.81845,-0.352746,-0.408173,0.204989,1.12539,-0.830737,-0.100701,-0.701623,0.483789,0.71135,-1.76236,-2.76175,1.09715,-0.411181,-0.639462,0.281117,1.29568,0.183869,0.477324,-1.36881,-1.9944,-0.834226,1.262,1.11484,0.78144,0.955311,2.59535,1.29679,1.20678,1.23561,-0.54323,-0.873197,0.0793358,1.51251,0.187948,-0.0364539,1.08206,-0.0367256,0.714561,-0.186265,-0.210704,-0.143444,-0.336075,-0.0183417,-0.0761864,-0.101316,-0.260734,-0.204046,-0.252815,1.58841,1.37926,0.033264,3.69608,-2.68594,-1.72247,-3.79177,-0.335044,-1.13764,0.174142
-100.931,0.896079,0.0872615,6,63,0,140.841,0.153735,1.69906,0.281688,0.656012,0.286708,-1.18349,-1.32625,-1.04029,-2.66266,-2.10711,-1.39593,-0.584875,-1.64501,-0.110627,-0.572837,1.82188,-0.555809,-3.33116,-3.42606,-1.59339,0.700929,0.0655321,-0.458203,-0.0982023,0.793089,0.879723,1.11869,-0.136018,-0.506649,-1.35196,1.46746,1.16031,0.879021,0.860293,1.61315,1.85712,-1.1757,-0.6087,-2.04116,-1.62001,-0.157014,0.906796,-0.0490947,1.17037,-0.0161121,0.964066,-0.163276,-0.169578,-0.104507,-0.328731,-0.00591059,-0.00767437,-0.0146284,-0.144956,-0.204626,-0.251723,1.88987,1.40266,0.441649,3.86396,-1.80597,-1.69114,-2.48359,0.365201,0.588481,2.13426
-96.0897,0.942938,0.0872615,6,63,0,136.246,0.0672347,3.91326,-0.305018,0.952614,-0.490574,0.147752,-0.120477,-1.58529,-0.65671,0.821894,-0.0461322,-0.559389,0.247096,0.279012,-0.767863,-1.40815,-0.0572434,-0.22365,-1.18047,1.9568,-0.4067,1.15852,1.43534,0.256526,0.11647,-0.697838,-2.31153,-2.49397,-2.12476,1.68479,-0.210547,0.189745,0.811,0.845558,-2.13226,-1.39909,-0.165094,-0.0156959,0.0529303,-0.265035,0.198499,0.868058,-0.0334029,0.75534,-0.0482253,1.52459,-0.228263,-0.252198,-0.120654,-0.248468,0.0167512,0.00424697,-0.0384219,-0.212917,-0.208176,-0.237429,2.41687,2.16137,0.806641,2.5905,-2.54327,-2.92522,-2.66114,-0.91166,0.518775,1.21866
-104.134,0.832279,0.0872615,6,63,0,131.414,0.0528898,3.6126,0.270578,-0.25514,0.0602342,1.71263,-0.503493,-0.164918,-1.52578,-1.20891,-1.5675,0.968146,-1.97602,-1.11318,-0.0723529,0.624984,-0.120377,-2.20032,-1.97629,-0.237427,0.677488,-1.07643,0.393492,-1.08156,0.134323,-0.487031,0.436057,1.99978,0.612589,-0.896403,-0.652764,0.0447282,2.24562,-0.661341,1.22726,0.786887,-0.626866,-0.195019,-0.58852,-0.4095,-1.39396,0.992682,-0.019594,0.211276,-0.0393492,1.5396,-0.250748,-0.224878,-0.124075,-0.252378,0.00976911,0.0131509,0.0225274,-0.166423,-0.299775,-0.202471,3.76815,2.96244,0.431449,1.98835,-1.12452,-3.27517,-1.56787,1.14129,2.86104,0.686714
-97.1739,0.999951,0.0872615,6,63,0,136.223,0.285261,-0.469945,-0.199159,1.00185,0.941327,-1.88794,-0.750084,-3.45869,-3.35211,0.82268,0.0692357,0.0782147,0.0806792,0.866019,-0.566482,0.34617,-0.404697,-3.41141,-2.93156,1.82603,-0.7736,0.681365,0.0444303,0.650388,-1.00098,-0.162404,-1.20842,-1.57642,-2.99757,1.23809,0.282965,2.17676,-1.89322,1.027,-0.127573,-0.190854,-0.535536,-1.24153,-1.53529,0.088476,1.03444,-1.07009,-0.0592086,1.41119,-0.0544826,0.622179,-0.192725,-0.197381,-0.122945,-0.186641,-0.0806135,-0.0800896,-0.153121,-0.266958,-0.179846,-0.243136,1.9767,1.46203,0.230327,1.73446,-3.52644,-2.20862,-3.82119,-0.7185,-1.60966,0.991073
-91.0096,0.792508,0.0872615,6,63,0,132.284,0.260415,-0.0547032,1.07405,0.147861,0.414263,1.84453,-2.23327,-1.50156,-4.17874,-0.957425,-1.13695,0.273385,-1.50114,-0.0506209,-0.24795,0.108387,-2.58637,-2.26103,-4.66271,-1.55846,0.884943,-0.494053,1.54192,-0.770624,1.94995,0.198502,-2.06941,-2.98208,-1.55775,-1.34078,-0.452376,0.0240922,1.76574,-0.337883,0.544637,0.554381,-2.81866,-1.61678,-2.67993,-0.528877,-1.87399,0.79791,-0.0790739,1.50129,-0.0551536,1.17643,-0.172565,-0.216752,-0.111406,-0.231245,-0.0466298,-0.0967298,-0.0752826,-0.113493,-0.287262,-0.160319,2.07485,2.29316,0.225216,1.69525,-1.84126,-2.72128,-2.28657,-0.372768,0.471021,0.114693
