# 0.00881009, 3.29157, 0.664216, 0.949961, 1.08505, 0.924497, 0.876617, 0.541866, 0.969039, 1.15357, 0.620141, 0.742081, 0.923129, 1.08207, 0.605478, 0.627164, 0.721081, 0.938031, 1.07359, 1.14875, 1.9623, 1.69675, 1.7071, 1.9195, 2.3605, 2.07839, 2.26095, 2.32498, 2.84919, 2.53783, 0.906729, 1.01363, 1.49782, 1.08497, 1.1932, 1.38362, 1.24911, 1.21373, 0.756655, 0.617631, 0.867706, 1.19467, 0.00131229, 0.543916, 0.000213642, 0.151506, 0.00266689, 0.521565, 0.00286562, 0.715325, 0.0021959, 0.364091, 0.00263083, 0.659419, 0.00178684, 0.433497, 0.00222303, 0.626512, 0.00371522, 0.713054, 0.00386993, 0.725718, 0.00556388, 0.926113, 0.00361441, 0.822064
-91.7212,0.969423,0.0779399,6,63,0,133.117,0.250799,0.779014,0.128125,1.11914,0.316281,0.0274318,-2.04235,-3.54524,-5.68904,-1.07882,-1.49,0.327518,-1.43705,0.0106555,-1.37483,-0.3996,-3.17908,-5.05625,-4.22801,-0.0817898,0.253423,-1.1386,-0.554006,0.963162,-0.55914,0.324545,-2.94688,-3.62665,-3.53062,-2.52864,-0.869994,0.815901,-2.3999,1.75145,0.168052,0.132083,-0.184102,-2.59513,-2.9982,-0.999988,-1.0404,0.242656,-0.10214,1.47319,-0.0594132,1.33854,-0.161611,-0.215086,-0.140093,-0.218889,-0.0321806,-0.00251062,-0.0888423,-0.213905,-0.215583,-0.245141,1.92385,1.53313,0.953845,1.74161,-2.35077,-3.76037,-2.44685,0.319445,-0.792683,0.982416
-96.2387,0.98395,0.0779399,6,63,0,120.584,0.28079,-0.134396,1.50298,0.361219,0.101442,-1.2308,-2.30105,-3.33627,-1.90564,-0.680658,-1.53606,-0.58176,-1.04512,-0.422387,0.352929,0.697749,0.948008,-2.11906,-4.90506,-0.754161,-0.102367,-1.84236,0.206805,-0.688887,2.08514,-0.944454,-1.83291,-2.22108,-4.55292,0.203867,-0.708687,1.36419,-1.56561,-1.18209,0.894384,0.129286,-3.36475,-3.19081,-3.29379,-1.0827,-1.88415,-0.141814,-0.0821702,1.07753,-0.046442,1.50029,-0.229198,-0.214085,-0.149655,-0.193308,-0.0449526,-0.0622485,-0.082471,-0.180014,-0.250078,-0.143573,2.37815,2.18922,0.474611,1.72976,-3.02342,-3.52218,-2.99471,-0.182268,0.630807,0.495346
-96.0652,0.908604,0.0779399,6,63,0,125.4,0.268955,0.617851,-1.23104,1.02905,0.491548,-0.0492105,-0.413528,-0.854413,-2.75885,-0.7227,-0.528838,0.384036,-1.07153,-0.193796,-0.0921628,-0.426671,-3.1239,-3.84369,-1.77855,0.235157,-0.454586,1.19764,0.344296,-0.597785,-1.22451,0.365728,-0.745542,-2.67879,-1.61793,-1.27889,-0.412529,0.202341,1.09551,1.07832,-1.00493,-0.522108,-0.388788,-0.234939,-1.41001,-0.00422939,0.627974,-0.84406,-0.0573493,1.25623,-0.0757395,2.29524,-0.236067,-0.189343,-0.228869,-0.243456,-0.00946226,-0.0606963,-0.0948427,-0.219285,-0.281876,-0.235627,3.38681,1.09193,1.86192,2.41992,-2.62237,-3.56103,-3.54299,0.335791,-0.212555,0.801008
-96.7701,0.964826,0.0779399,6,63,0,131.428,0.225324,1.32351,1.64113,-0.111072,0.560754,-0.489699,-2.51223,-4.0816,-2.59351,0.7618,-0.828479,0.486668,-0.582311,0.613199,0.755097,1.15713,-0.151192,-3.29298,-3.00019,0.738633,-0.524116,-1.59609,1.14656,0.344919,1.93138,-0.0072962,-2.65102,-2.0217,-1.62939,1.17043,0.764083,1.49075,-0.428181,-0.0927594,1.39965,1.04927,1.34976,-1.2451,-2.35328,-0.170762,-0.287505,0.445257,-0.0672393,1.37354,-0.0161868,0.808795,-0.212242,-0.306042,-0.155047,-0.276836,-0.0210666,-0.0553735,-0.0613674,-0.281898,-0.264268,-0.257411,1.58741,3.08886,0.223585,2.49643,-2.82781,-2.23363,-2.39795,-0.438677,0.459486,1.55988
-88.1803,0.992899,0.0779399,6,63,0,120.673,0.281377,0.70118,-0.0365665,0.382402,0.246363,1.52575,-1.13172,-1.41581,-2.53877,-0.365746,-0.615781,0.0412699,-0.0837121,0.404363,0.284003,-0.819307,-2.14948,-2.54839,-4.03693,-0.279499,-0.47421,-0.649713,0.193057,1.71494,0.407523,0.454719,-2.12278,-1.5623,-3.56819,0.232844,-0.691092,1.0586,-0.400613,0.944709,0.833432,-0.519724,-3.12453,-1.2236,-0.935849,-0.90268,-1.82206,-0.536523,-0.0799033,1.41592,-0.0324094,1.04468,-0.21419,-0.255626,-0.172594,-0.209671,-0.0608657,-0.116216,-0.132355,-0.253347,-0.305769,-0.196451,2.18288,2.25571,0.759717,1.15784,-1.66307,-2.26884,-1.50041,0.778622,1.46523,0.0854003
-93.3769,0.903409,0.0779399,6,63,0,117.059,0.177133,2.73334,0.27091,-0.0156627,-0.227635,-2.30711,-0.340104,-1.50922,-2.76695,-0.597436,-0.597614,0.0322056,-0.934839,-0.0896122,-1.05239,2.11998,-1.79457,-2.54681,-3.82938,-0.860757,0.692812,-0.161617,-0.744976,0.8299,-0.576124,-0.518691,-2.9632,-2.24679,-4.29429,0.340445,-1.87052,-0.661057,0.63046,0.0271914,-0.203507,-0.0222449,-3.12208,-2.17201,-3.4682,-1.21944,-0.975226,-1.04131,-0.0981123,1.49403,-0.0632656,1.54309,-0.184262,-0.189896,-0.134313,-0.266874,-0.00589902,-0.0276552,0.00879305,-0.161387,-0.187238,-0.224103,1.88517,1.29938,0.668972,2.57599,-2.22156,-2.93825,-3.26307,-0.277316,-1.78587,0.5462
-95.1659,0.990541,0.0779399,6,63,0,134.549,0.251141,-0.374706,-0.156354,2.26106,1.00818,1.40601,-2.98413,-2.0421,-1.81532,-0.409945,-1.45507,0.308211,-1.52833,-0.227366,-0.291143,-1.21573,-0.101576,-3.27776,-4.96199,1.0879,-0.245853,-0.583808,0.997147,-2.19021,1.66611,0.366058,-1.12735,-1.91816,-3.03024,-2.50691,0.660679,1.93386,-0.605298,-0.00371943,-0.138483,-0.276346,-0.931387,-2.11246,-2.81883,-0.014426,-0.320679,0.299194,-0.0688898,1.01951,-0.0306132,0.929258,-0.134585,-0.182064,-0.156344,-0.206134,-0.0502575,-0.0735276,-0.0756962,-0.179807,-0.206399,-0.226173,1.6875,0.874511,0.807693,1.55753,-1.95835,-2.3542,-2.36856,-0.386338,0.573343,0.98645
-98.9392,0.916264,0.0779399,6,63,0,126.62,0.233368,0.786565,0.650773,-0.173138,-0.878899,0.550943,-0.748521,-2.9738,-4.49401,-1.19114,-0.51983,0.464629,0.355549,1.281,1.22477,0.14244,-2.81967,-3.25173,-2.32808,-0.181097,-0.230048,-1.00037,0.278778,0.737595,0.22909,-0.479232,-2.93353,-2.62594,-2.74398,1.93963,-1.24445,-0.786464,0.29918,0.976665,-1.67779,-0.640596,-1.39273,-1.30564,-1.31104,0.753202,0.472565,-1.28874,-0.0722652,1.07461,-0.0361316,1.40298,-0.214269,-0.26853,-0.159323,-0.170071,-0.0202068,-0.0637708,-0.0998819,-0.24858,-0.204067,-0.204689,1.8232,2.17559,1.32316,0.853676,-1.67758,-2.5274,-2.37697,1.41105,0.204449,1.16807
-111.959,0.963122,0.0779399,6,63,0,145.943,0.279551,0.0690974,0.0481582,1.81816,0.786204,-1.0475,-2.79969,-2.20937,-1.32621,1.17867,-2.35954,1.48717,-2.17879,-0.722895,0.413721,0.425611,-0.292563,-3.08348,-4.88604,1.36705,0.173316,0.49802,0.0641579,-2.22149,1.41596,0.607493,-0.735337,-1.66064,-2.66383,-1.92012,-1.33074,2.00591,1.6102,0.159384,0.558504,1.34268,-1.40061,-1.16145,-2.76822,-0.541436,-2.13574,0.989603,-0.0680823,1.18974,-0.0302835,1.15542,-0.154718,-0.180285,-0.254644,-0.266126,-0.0270476,-0.0807264,-0.0541379,-0.256779,-0.226626,-0.290941,2.43021,0.649635,2.00163,2.76172,-1.84802,-1.79773,-3.61305,-0.37975,0.685116,1.04776
-106.033,0.94559,0.0779399,6,63,0,148.084,0.251193,-0.85116,-0.495632,0.586771,0.439349,0.998933,-1.13631,-2.96203,-5.2816,0.336336,0.364566,1.16269,-0.252181,-1.03927,1.81053,-0.091441,-2.35033,-4.07949,-3.69659,-0.889007,-1.26861,0.397881,2.24085,-0.193326,-0.966153,2.37504,-1.78336,-3.22823,-2.76318,1.57131,0.249015,0.714505,-0.842487,-0.229692,-1.59029,0.607098,-0.804298,-2.32733,-3.21605,-2.21545,0.144291,0.284019,-0.0741243,1.6277,-0.0526934,1.23547,-0.173137,-0.164194,-0.126992,-0.224087,-0.0482514,-0.0256084,-0.0862631,-0.154102,-0.205414,-0.210662,2.10311,2.09493,-0.0771101,2.15029,-2.34225,-3.23477,-3.02411,-0.566735,0.380373,0.0797239
