# 0.00903035, 4.2369, 0.724131, 1.05743, 1.07444, 1.22418, 0.616085, 0.615192, 1.15204, 1.22606, 0.673904, 0.885617, 1.12476, 1.16743, 0.801894, 0.692847, 1.03615, 1.4153, 1.12836, 1.12481, 1.48945, 1.39451, 1.56233, 1.81762, 2.01404, 1.927, 1.81799, 2.09537, 2.66866, 2.71674, 0.779636, 1.1071, 1.41136, 1.33755, 1.00048, 0.977141, 1.20312, 1.58623, 0.878579, 0.85127, 1.06298, 1.40798, 0.00110949, 0.568602, 0.000296895, 0.191487, 0.00248181, 0.584711, 0.00315337, 0.55052, 0.00255163, 0.330077, 0.00212822, 0.471631, 0.00184982, 0.480107, 0.00260251, 0.691138, 0.00396023, 0.736851, 0.0047147, 0.887212, 0.0055166, 0.826058, 0.0050083, 0.893617
-92.1708,0.895028,0.083243,6,63,0,118.847,0.0970017,0.196406,0.743893,1.68275,1.17327,-1.04877,-1.32479,-1.47769,-0.883589,0.194991,0.772673,0.546879,-1.24538,-0.576685,2.15436,1.50757,-0.374355,-1.97652,-1.13865,0.891491,1.44079,0.120167,0.333179,0.740596,1.7401,1.35319,-1.26333,-0.496748,-1.61754,0.754637,0.640164,0.673316,0.305315,-0.763442,-1.46169,-0.602736,0.0447694,-0.467367,-1.57497,1.67081,0.442578,1.13335,-0.04244,1.20531,-0.0238062,0.815847,-0.214519,-0.13545,-0.135539,-0.205432,-0.00447909,-0.00108271,-0.0122798,-0.136434,-0.208536,-0.134517,3.53636,1.31993,0.713921,2.55626,-1.96167,-2.47025,-2.32654,-0.0915234,-0.0964178,0.740104
-97.6135,0.849987,0.083243,6,63,0,128.415,0.0805309,5.09778,-0.594136,0.0799943,-0.421515,-0.0871105,-1.71499,-1.991,-1.32226,-0.913787,-2.0902,-0.693794,-0.736444,0.933269,-1.2931,-0.731158,-0.366562,-1.68306,-2.00108,0.262254,-1.16742,-0.602345,0.436277,-1.3497,-1.01114,-1.13567,0.0140189,-1.20594,-1.87196,-0.621089,-0.438521,-1.63895,-0.880255,0.834715,1.35672,0.246108,-0.169336,0.301746,-1.31849,-0.670807,-2.39306,-2.75649,-0.0310409,0.061185,-0.0390068,1.30077,-0.183381,-0.292438,-0.121299,-0.165423,0.0230558,-0.0195314,-0.00450363,-0.2389,-0.226173,-0.224388,1.1228,2.10804,0.56915,0.657255,-2.33637,-2.40189,-2.29127,-0.344254,-0.145957,0.626409
-101.912,0.997496,0.083243,6,63,0,134.814,0.255358,1.69292,0.751323,0.0754555,1.47978,-1.37845,-2.21678,-1.3661,-1.51812,1.17881,-1.71386,-0.45628,0.0800491,-0.184548,-0.299524,1.78989,-1.31018,-0.90679,-2.67095,-0.675452,-0.593973,-0.317365,-0.60316,-1.23027,0.417204,-0.881198,-2.03832,-1.14763,-1.76632,-0.0200848,-0.645259,0.336757,-0.614828,-1.78976,-0.663699,-0.431622,-0.167762,0.0923788,-0.00746773,-2.16377,-3.06975,-2.4268,-0.0395609,0.326312,-0.0591801,0.91017,-0.231942,-0.176221,-0.162486,-0.287018,-0.0260275,-0.115194,-0.0947509,-0.198455,-0.326704,-0.190337,2.19368,0.65238,0.0478099,2.49687,-2.21146,-3.35626,-4.39372,-1.09769,0.403289,-0.0150845
-98.6288,0.808253,0.083243,6,63,0,135.771,0.261807,1.48298,0.0966276,-0.408768,0.662288,-1.61172,-1.53775,-1.95299,-2.02073,0.90209,0.593939,-0.0157744,-0.382827,-1.00355,-0.903446,1.31693,-0.64793,-1.07351,-2.30277,-0.539663,-0.659991,-1.10276,-0.99308,-0.534299,0.0392277,0.0288285,-2.61022,-0.990896,-1.24695,-1.49664,-0.491136,1.09624,-0.801279,-1.60683,-0.970303,-0.0355453,-0.793716,0.754541,-0.306223,-1.15525,-1.68124,-2.78255,-0.0473949,0.592814,-0.0588828,1.28007,-0.24956,-0.188593,-0.103143,-0.253902,-0.0521691,-0.102305,-0.116165,-0.213555,-0.334954,-0.202005,2.26446,1.4393,-0.320483,2.19049,-2.66589,-3.06445,-5.10656,-1.08705,0.0329768,-0.485993
-99.1671,0.929882,0.083243,6,63,0,130.021,0.271362,0.66059,1.73081,0.05313,-0.609674,-0.346368,-0.332681,-1.26544,-2.47461,0.841186,-0.587596,-0.679826,-1.08339,-0.646233,0.296962,0.692372,-0.920919,-3.02519,-0.887568,1.11816,-1.09534,-1.52194,-0.228081,-0.823662,1.09345,-0.209988,-1.41618,0.302996,-3.64512,-1.64284,-1.19536,-0.577924,0.170253,-0.977474,-1.32647,0.0370121,-0.78411,-1.164,-1.44642,-0.0068809,0.560196,0.084612,-0.0327422,0.249937,-0.0591122,1.22039,-0.214648,-0.209402,-0.0831032,-0.27426,-0.0701497,-0.0927912,-0.128866,-0.31719,-0.307451,-0.176953,1.82458,2.03989,-0.383925,2.51956,-2.32367,-3.37146,-4.59046,-0.735135,0.779541,-0.062943
-100.699,0.976586,0.083243,6,63,0,137.526,0.270399,0.106588,-1.43262,0.511388,1.86369,0.612222,-1.5586,-4.8451,-3.69263,-1.2046,-1.58743,0.582416,-2.6113,0.336169,0.758805,0.61203,-3.89216,-4.73512,-4.36618,-0.60323,0.170562,0.242336,-0.133234,0.660009,-0.0327627,-0.865203,-2.01286,-4.19025,-6.42484,-1.5522,-1.94709,1.84893,0.731911,1.21958,-0.725455,-0.0963504,-2.4736,-3.40486,-3.39832,1.00308,-1.60089,-0.472231,-0.135173,2.71959,-0.0425206,1.89381,-0.188923,-0.230396,-0.235881,-0.225898,0.0246404,-0.0574602,-0.114281,-0.199684,-0.179041,-0.280871,3.57028,2.12296,1.64676,1.60584,-3.25226,-2.42832,-2.03446,9.51873e-05,-0.319877,2.01053
-96.7275,0.902891,0.083243,6,63,0,131.8,0.265472,1.25672,1.73155,0.463289,-1.02221,-1.03746,-4.04394,-3.81641,-5.45714,-0.461316,-0.704967,-0.358181,1.14926,0.639247,-1.42078,-0.692325,-1.37413,-4.2546,-5.21592,-0.370912,-1.17457,-1.35214,0.773249,-0.549593,1.06782,0.302737,-3.67693,-4.08045,-4.2454,-0.571848,0.0841036,-0.837573,-0.163922,-0.431703,0.349469,0.651381,-3.35231,-2.20351,-4.72527,-1.63866,-1.00204,-0.475085,-0.120221,1.72155,-0.0472254,1.30907,-0.244051,-0.2717,-0.0909262,-0.191792,-0.0341321,-0.0644165,-0.0560936,-0.251687,-0.312412,-0.165636,1.16249,2.29932,-0.0680516,1.50098,-1.65163,-3.39674,-3.87629,0.350189,1.37568,0.259274
-104.13,0.9371,0.083243,6,63,0,138.107,0.221679,-0.582376,-1.96091,2.25083,1.70435,0.244624,-0.487138,-3.93089,-4.41403,-0.917481,-1.48005,1.74941,-2.89773,-0.0165082,1.03336,0.902782,-2.7525,-3.69506,-6.19557,0.132603,0.00923997,0.14914,0.576198,0.493692,0.0229607,-0.960541,-2.5431,-3.44474,-3.98242,-0.768167,-1.74177,1.4197,0.933413,1.09598,-0.234601,-0.313066,-2.72205,-3.80386,-2.83101,0.454215,-0.671704,0.037109,-0.101255,2.14616,-0.053468,1.78395,-0.134211,-0.283058,-0.219643,-0.223242,0.0423744,-0.00724667,-0.0170003,-0.149046,-0.101908,-0.265907,3.4849,3.1115,1.67384,2.01125,-3.93443,-3.11773,-3.01298,0.125691,-1.60563,1.80947
-104.78,0.815068,0.083243,6,63,0,140.601,0.282351,1.42462,-0.516768,1.9934,0.56303,0.127568,-2.25936,-3.85698,-3.43456,-2.11025,-0.441829,2.20618,-0.819576,-0.786242,0.0421237,0.724325,-2.46852,-4.89315,-4.79672,0.598961,-0.243371,-1.14495,0.284717,-1.5688,0.708653,-0.565583,-0.925987,-2.71905,-4.75623,-0.425733,-2.52306,1.25463,0.633932,1.69882,0.121286,0.863909,-4.90899,-2.80963,-5.63493,0.576812,-0.427336,-0.521345,-0.122274,2.59028,-0.0848463,2.14655,-0.129582,-0.275501,-0.232821,-0.249787,0.0309291,-0.0491189,-0.0875347,-0.248481,-0.294245,-0.317253,0.718465,2.53893,1.36852,1.52941,-3.29354,-3.12426,-2.3939,-0.219923,0.0376023,1.24457
-103.19,0.989208,0.083243,5,31,0,139.055,0.411932,-4.29572,1.43434,0.193613,-0.0792785,-0.854888,-2.4474,-4.08684,-5.61329,-0.755615,-1.60496,0.518065,-1.27076,0.278309,0.516533,0.293081,-2.37426,-3.79169,-5.86627,-0.986646,-1.29381,0.0646432,0.0306608,0.490578,-0.2966,0.241374,-4.50362,-4.49438,-4.16459,-0.572162,-1.02525,-0.025103,-0.999191,1.46882,-0.757712,-0.342005,0.0575339,-2.72073,-1.46622,-0.760057,-0.890092,0.0962523,-0.118813,2.28219,-0.0553482,1.36667,-0.167946,-0.183124,-0.156865,-0.274729,-0.117057,-0.145037,-0.150896,-0.18309,-0.202176,-0.254898,2.68143,2.44649,1.41538,3.87615,-3.07851,-2.27417,-5.25905,0.349841,1.01032,1.60766
