# 0.00593022, 2.66208, 0.691516, 0.880702, 1.05613, 1.48713, 0.552389, 0.739338, 0.868923, 1.5305, 0.626237, 1.01918, 0.929819, 1.23147, 0.551681, 0.66269, 1.38485, 1.40502, 0.992361, 1.20592, 1.59768, 1.60192, 1.53708, 1.29001, 1.89989, 1.56196, 1.91343, 1.71324, 1.7863, 1.93478, 0.634237, 0.691931, 1.20936, 1.437, 1.07261, 1.37236, 1.03906, 1.34098, 0.820335, 0.891404, 0.851561, 1.345, 0.000950624, 0.576193, 0.000249025, 0.166266, 0.00257885, 0.536524, 0.0030454, 0.607278, 0.00240488, 0.379384, 0.00231464, 0.458642, 0.00129499, 0.387248, 0.00169135, 0.63351, 0.00278747, 0.711989, 0.00427208, 0.789083, 0.00537154, 0.832634, 0.00307997, 0.875432
-95.5882,0.971144,0.0891479,6,127,0,149.499,0.381908,-1.11425,-0.847767,0.869686,-0.0425803,-1.12299,-1.46275,-2.16331,-5.35645,-1.51155,-2.60814,-1.06611,-1.9199,-0.551928,0.222749,-0.208551,-2.10503,-4.02888,-4.39195,-1.66216,-1.2034,-1.50607,-0.759632,-1.00626,-0.923806,0.0145928,-3.46472,-1.62548,-2.22377,-0.126584,-0.55345,1.14347,-0.936155,-1.35424,1.21469,-0.807861,-2.15351,-1.92272,-4.59333,-1.11409,-1.71813,-1.35736,-0.0986524,1.19532,-0.0629986,1.51481,-0.113604,-0.187911,-0.194253,-0.170663,-0.0808613,-0.128778,-0.18035,-0.269922,-0.304419,-0.185842,1.15467,1.38399,1.5404,1.45288,-3.07335,-3.26253,-1.90162,1.54886,1.0754,0.404952
-94.0255,0.893503,0.0891479,6,63,0,120.336,0.355658,-0.568077,0.754902,-0.157486,-0.392444,-1.44244,-3.17129,-4.4053,-2.85506,-0.939239,-0.473516,0.448787,-2.24137,-0.0762556,-0.975516,-0.37307,-3.25748,-3.53365,-4.62288,-0.409473,-1.16929,-0.701451,0.499264,-0.923219,0.572378,-1.61175,-1.85376,-4.45728,-5.72066,-2.38563,-1.37818,-0.886869,0.0913977,0.804888,-2.46406,-0.705371,-2.51765,-3.94706,-2.45098,-1.51467,-1.48523,-0.591359,-0.117304,1.48789,-0.0524159,1.08498,-0.23062,-0.319567,-0.16633,-0.237581,-0.0720874,-0.0767297,-0.181902,-0.209339,-0.263776,-0.222211,2.52675,3.66123,1.07593,2.43668,-2.02019,-3.88906,-3.65442,-0.871177,-1.01073,0.697594
-93.9402,0.925506,0.0891479,6,95,0,125.485,0.354483,-1.75687,0.776224,1.07469,1.20768,0.274588,-2.95645,-4.64434,-2.26063,-0.000851654,-0.842902,0.928076,-1.66981,-0.950229,-0.44556,0.111103,-2.39771,-3.50436,-4.06164,1.06036,-0.401872,-0.456488,0.640277,-1.56474,1.74596,-1.46217,-2.10776,-4.40741,-5.49571,-1.28747,-0.536396,-1.0265,0.428514,1.59279,-0.152068,-0.10929,-3.24537,-1.97807,-2.96586,-1.06731,-1.49824,-0.0954573,-0.109112,1.83641,-0.0403289,1.47238,-0.201407,-0.18834,-0.134884,-0.203055,-0.0214169,-0.125097,-0.184776,-0.211029,-0.235804,-0.175841,2.54509,2.19941,0.494376,1.99718,-3.53919,-1.79516,-3.19948,-0.511915,0.36612,0.456269
-94.3972,0.973851,0.0891479,6,63,0,118.367,0.249709,0.789604,0.218062,0.306112,-0.143913,-0.814931,-2.05957,-3.6296,-3.82283,-1.29443,-2.03081,-0.162924,-1.39986,1.48664,-1.191,0.708191,-2.27446,-4.66185,-5.01601,-0.751542,-0.111932,0.442105,1.54214,1.57586,-0.311241,-0.0136819,-3.80695,-4.52812,-4.82493,-0.368246,-0.916488,1.70818,-0.75467,0.352374,0.426127,-0.065468,-1.7096,-3.51308,-4.66355,-0.824478,1.01352,-0.221561,-0.112898,2.40293,-0.0461248,1.18238,-0.189745,-0.280109,-0.142322,-0.237869,-0.0538556,-0.0133644,-0.0505623,-0.284767,-0.251568,-0.217976,2.14745,2.10157,1.1635,2.11016,-1.37272,-4.95242,-3.67607,1.67094,-0.245659,0.471403
-91.3381,0.947269,0.0891479,5,63,0,130.38,0.238721,1.49509,-0.076791,0.441353,2.71144,-0.6826,-1.6767,-2.72504,-3.27372,-0.429669,-0.120002,1.65507,0.038837,0.956596,0.515482,-0.972881,-2.21816,-4.45667,-4.31919,0.571323,-1.78282,-0.346678,1.30704,0.203372,1.20776,-0.79681,-1.61286,-2.31822,-3.29091,-0.525159,0.56999,0.554518,0.916464,0.363436,-0.578038,1.88989,-2.52999,-1.96457,-2.78557,-0.698211,-0.732744,0.109846,-0.0975632,2.30661,-0.0462026,1.19919,-0.213536,-0.346465,-0.250887,-0.252578,-0.0116683,-0.0510674,-0.0776412,-0.260138,-0.238321,-0.208813,2.20484,3.3107,1.06521,2.71522,-2.38601,-2.74558,-2.95841,0.241764,-0.40542,0.24128
-91.4208,0.959865,0.0891479,6,63,0,113.426,0.274867,0.00959483,-0.280119,1.42414,1.94718,0.218573,-1.391,-2.84588,-4.00354,-0.691351,-0.499323,1.70496,0.437272,-0.241885,0.739413,0.586765,-2.49744,-4.65731,-4.37175,0.412146,-0.414396,-1.52756,1.126,0.0738987,0.573209,0.461281,-1.69991,-2.26135,-1.98811,-0.281,-1.50247,-0.166295,0.76029,1.12152,-0.0338099,2.6292,-1.87915,-2.20179,-3.7189,-1.15763,1.86699,-0.504231,-0.0773441,1.79292,-0.0471161,1.54006,-0.24387,-0.268213,-0.1955,-0.279555,-0.0378947,-0.049267,-0.0943335,-0.244896,-0.214224,-0.244226,2.96758,2.23028,0.65737,2.7749,-2.32927,-2.42679,-2.6946,-0.222077,0.210076,0.575859
-92.682,0.953765,0.0891479,6,63,0,115.046,0.272293,0.131558,0.535239,0.0586379,0.0647396,0.0608878,-3.37936,-1.57402,-3.69005,-1.49225,-0.503886,0.893284,-0.959176,0.380111,-0.040752,1.05809,-0.778999,-2.91474,-3.59956,-0.386388,-0.662089,-0.399794,1.67252,-1.28819,-1.1775,0.668366,-1.86237,-2.68195,-4.66852,0.298708,-1.18844,1.26498,0.0652555,1.56603,0.119738,-0.363675,-1.36588,-1.99759,-2.05085,0.643912,-1.23245,0.168009,-0.100332,2.16303,-0.0450306,1.47009,-0.186632,-0.27905,-0.154751,-0.289503,-0.0392324,-0.0680487,-0.117966,-0.226114,-0.275506,-0.217625,1.87791,3.63571,1.26773,2.48381,-1.88336,-3.16115,-2.31837,0.365397,-0.257463,0.347819
-88.4964,1,0.0891479,5,31,0,134.484,0.27639,-0.194784,0.994255,0.0506112,0.347481,-0.07338,-3.08095,-2.04428,-3.67931,-1.61852,-0.784832,0.973843,-0.668723,-0.101326,-0.0797469,1.45756,-1.04668,-3.30203,-3.13457,-0.542015,-0.194738,-0.311618,1.59376,-1.07003,-0.551351,0.328668,-2.13031,-3.08048,-4.94979,0.42757,-1.67395,1.01777,0.847019,1.15211,0.329231,-0.427892,-1.46179,-1.70481,-1.68183,0.959917,-1.39892,0.0386822,-0.104651,2.12316,-0.0409349,1.42315,-0.196195,-0.281175,-0.153453,-0.278042,-0.0412302,-0.0899823,-0.140139,-0.193458,-0.305201,-0.194306,1.81492,3.43736,1.03583,2.54832,-1.95426,-2.91932,-1.99825,0.0455607,0.141489,-0.117351
-94.5796,0.883502,0.0891479,6,63,0,124.13,0.126124,2.51575,-1.01296,-0.338646,-0.647734,-0.513635,-1.6734,-0.244851,-1.50889,-1.05636,0.042787,-0.328055,-1.63073,-0.102017,-0.103338,0.097723,0.52346,-1.17123,-0.224476,0.18059,-0.0994183,0.982763,1.94331,-0.492976,1.10559,-0.249733,-0.851395,-1.3046,-2.63212,2.21622,0.40396,1.58319,0.463158,0.642948,-0.0810324,-1.15539,-0.111017,-0.0898453,-0.812487,-0.274042,-0.615966,0.9285,-0.0467843,0.904042,-0.0652879,1.39714,-0.183368,-0.177665,-0.108926,-0.182665,0.0195338,-0.0391263,-0.0367097,-0.251808,-0.202881,-0.239973,2.73877,1.35965,0.58245,1.30461,-2.03501,-2.706,-4.14598,1.01072,-1.16413,1.14473
-99.7168,0.932834,0.0891479,6,63,0,129.918,0.112551,1.00518,0.240222,1.12092,-0.301772,-0.335833,-0.219574,-1.85604,-2.0668,0.633357,-0.350021,1.09422,-0.612603,-0.0933551,-0.565161,1.30619,-0.124141,0.899734,-1.51075,1.57594,-1.33268,-1.11794,-0.255839,0.406616,0.365084,0.0351248,-0.907392,0.121697,1.18441,-0.0242238,-1.37767,0.157409,-0.0796557,1.57484,-0.43023,-1.31808,-0.855622,1.12513,-0.438686,2.07612,0.528652,-0.963825,0.00348139,0.0695764,-0.051967,1.78057,-0.160122,-0.103089,-0.0961411,-0.212512,-0.000548071,-0.0244169,-0.0197251,-0.268243,-0.108884,-0.200977,2.27755,0.353928,1.02965,2.60328,-1.88466,-3.16052,-2.39156,1.13652,-1.06762,1.28171
